state_id,state_display_name,state_abbr,DLC,DLC_id
nevada,Nevada,NV,Base,base
arizona,Arizona,AZ,Base,base
new_mexico,New Mexico,NM,New Mexico,new_mexico
utah,Utah,UT,Utah,utah
colorado,Colorado,CO,Colorado,colorado
